b,ccnum,ccty,loa,k,Nind,cty_lab,region_lab,area_lab,ind_lab,misind_lab,measure_lab,agec2_lab,hship_lab,ciint_lab,survey,year,data_source,w_region,subg,nosubnat,measure,cty_2,,,,,,,,,,,,,,,,,,,,,
0.0077505,,BTN,area,66%,33,Bhutan,,Rural,Life satisfaction,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0053663,,BTN,area,66%,33,Bhutan,,Urban,Life satisfaction,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0092105,,BTN,area,66%,33,Bhutan,,Rural,Positive emotions,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0086962,,BTN,area,66%,33,Bhutan,,Urban,Positive emotions,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0083731,,BTN,area,66%,33,Bhutan,,Rural,Negative emotions,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0087366,,BTN,area,66%,33,Bhutan,,Urban,Negative emotions,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0222499,,BTN,area,66%,33,Bhutan,,Rural,Spirituality,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0228758,,BTN,area,66%,33,Bhutan,,Urban,Spirituality,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0038588,,BTN,area,66%,33,Bhutan,,Rural,Mental health,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0027538,,BTN,area,66%,33,Bhutan,,Urban,Mental health,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0055769,,BTN,area,66%,33,Bhutan,,Rural,Self-reported health status,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0050818,,BTN,area,66%,33,Bhutan,,Urban,Self-reported health status,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0036702,,BTN,area,66%,33,Bhutan,,Rural,Healthy days,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0029932,,BTN,area,66%,33,Bhutan,,Urban,Healthy days,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0041941,,BTN,area,66%,33,Bhutan,,Rural,Disability,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0028953,,BTN,area,66%,33,Bhutan,,Urban,Disability,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0327483,,BTN,area,66%,33,Bhutan,,Rural,Work,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0269437,,BTN,area,66%,33,Bhutan,,Urban,Work,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.013403,,BTN,area,66%,33,Bhutan,,Rural,Sleep,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0166592,,BTN,area,66%,33,Bhutan,,Urban,Sleep,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.01581,,BTN,area,66%,33,Bhutan,,Rural,Literacy,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0076833,,BTN,area,66%,33,Bhutan,,Urban,Literacy,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.020589,,BTN,area,66%,33,Bhutan,,Rural,Schooling,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0111397,,BTN,area,66%,33,Bhutan,,Urban,Schooling,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0257486,,BTN,area,66%,33,Bhutan,,Rural,Knowledge,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0249335,,BTN,area,66%,33,Bhutan,,Urban,Knowledge,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0003961,,BTN,area,66%,33,Bhutan,,Rural,Values,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0004369,,BTN,area,66%,33,Bhutan,,Urban,Values,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0010895,,BTN,area,66%,33,Bhutan,,Rural,Speak native language,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0011903,,BTN,area,66%,33,Bhutan,,Urban,Speak native language,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0168465,,BTN,area,66%,33,Bhutan,,Rural,Cultural participation,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0207208,,BTN,area,66%,33,Bhutan,,Urban,Cultural participation,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0121679,,BTN,area,66%,33,Bhutan,,Rural,Artisan skills,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.013093,,BTN,area,66%,33,Bhutan,,Urban,Artisan skills,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0113765,,BTN,area,66%,33,Bhutan,,Rural,Driglam Namzha,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0152732,,BTN,area,66%,33,Bhutan,,Urban,Driglam Namzha,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0071804,,BTN,area,66%,33,Bhutan,,Rural,Government performance,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0077624,,BTN,area,66%,33,Bhutan,,Urban,Government performance,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0053318,,BTN,area,66%,33,Bhutan,,Rural,Fundamental rights,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0055598,,BTN,area,66%,33,Bhutan,,Urban,Fundamental rights,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
